subject,description,priority,category
"Payment method declined","My credit card on file was declined for our recent invoice. The card is valid and has funds. Can you please retry the charge?","High","Billing"
"Data sync issue for NextGen Systems","There is a data synchronization delay of over a few seconds for new records to appear on the main dashboard. This is affecting our operations.","Medium","Technical"
"Cannot view reports","Multiple users are unable to view reports when using via Safari on an iPad. The console shows a JavaScript error.","High","Technical"
"Feature Idea: role-based access control","It would be extremely helpful if you could add a role-based access control. This would help us add a user much more efficiently.","Low","Feature Request"
"API returning 500 Internal Server Error","Our application is receiving a consistent '500 Internal Server Error' from the /v1/auth/token endpoint. This started 2 hours ago.","Critical","Technical"
"Request to delete account","Please proceed with the permanent deletion of our account (Solutions LLC) and all associated data as per our company policy.","Medium","Account"
"Need to cancel subscription","Please cancel our Scale subscription at the end of the current billing cycle. We no longer require the service.","Medium","Billing"
"User permission bug","A user with an 'Admin' role cannot access the billing history page; they are getting a 'permission denied' error.","High","Account"
"Requesting a refund","Due to the service outage for the past week, we are requesting a partial credit or refund for this month's service fee.","High","Billing"
"Need to change primary email","I need to update the primary email address on my account, but the interface does not allow me to change it.","Medium","Account"
"Account access issue","My account has been suspended or locked without warning, and I'm not sure why. I need access restored immediately to manage our services.","Critical","Account"
"Dashboard not loading","The API is showing a blank white screen. No data is loading. This is impacting all our users since 2 hours ago.","Critical","Technical"
"High latency in US-East-1","We're observing response times of over 500ms from the database cluster in US-East-1. This is a major degradation.","High","Technical"
"API returning 503 Service Unavailable","Our application is receiving a consistent '503 Service Unavailable' from the /v2/reports endpoint. This started this morning.","Critical","Technical"
"Webhook delivery failing","We stopped receiving 'subscription.updated' webhooks. The last successful delivery was this morning. We have checked our endpoint and it is healthy.","High","Technical"
"Invoice for Q3 is missing","I cannot find the invoice for Q3 in my dashboard's billing section. Could you please resend it to our billing contact email?","Low","Billing"
